genre,rel_sub,rel_inf,rel_fus
traditional country,,folk,
traditional doom metal,epic doom metal,,
traditional doom metal,,blues rock,
traditional doom metal,,heavy metal,
traditional doom metal,,psychedelic rock,
traditional pop,,vocal jazz,
traditional pop,tin pan alley,,
traditional séga,séga tambour,,
trallalero,,,
trampská hudba,,bluegrass,
trampská hudba,,country,
trance,ambient trance,,
trance,acid trance,,
trance,dream trance,,
trance,euro-trance,,
trance,hard trance,,
trance,goa trance,,
trance,melodic trance,,
trance,psytrance,,
trance,progressive trance,,
trance,tech trance,,
trance,,acid house,
trance,,ebm,
trance,,techno,
trance,vocal trance,,
trance,balearic trance,,
trance,big room trance,,
trance,hi-tech full-on,,
trance,trance 2.0,,
trance,electro trance,,
trance 2.0,,festival progressive house,
trance 2.0,,melodic trance,
trance 2.0,,progressive trance,
trance metal,,trance,
trancestep,,trance,
trap,drill,,
trap,detroit trap,,
trap,plugg,,
trap,trap metal,,
trap,tread,,
trap,trap shaabi,,
trap,sigilkore,,
trap,no melody trap,,
trap,trap latino,,
trap,regalia,,
trap,new jazz,,
trap,rage,,
trap dancehall,,trap,
trap edm,,dubstep,
trap edm,,grime,
trap edm,,trap,
trap edm,,wonky,
trap edm,twerk,,
trap edm,hybrid trap,,
trap edm,heaven trap,,
trap edm,hard trap,,
trap edm,festival trap,,
trap latino,,alternative r&b,
trap latino,,contemporary r&b,
trap latino,,reggaeton,
trap shaabi,,shaabi,
trap soul,,,contemporary r&b
trap soul,,,trap
trapfunk,,trap,
tread,,cloud rap,
tribal ambient,,folk,
tribal guarachero,,cumbia mexicana,
tribal guarachero,,electro house,
tribal guarachero,,techno,
tribal house,,folk,
tribal house,guaracha edm,,
trip hop,,hip hop,
tropical house,,deep house,
tropical rock,,calypso,
tropical rock,,reggae,
tropical rock,,rock and roll,
tropicanibalismo,,champeta,
tropicanibalismo,,cumbia,
tropicanibalismo,,salsa,
tropicanibalismo,,vallenato,
tropicália,,samba-rock,
tropicália,,mpb,
tropicália,,psychedelic pop,
tropicália,,psychedelic rock,
tropipop,,vallenato,
trot,pon-chak disco,,
trot,semi-trot,,
trova,nueva trova,,
trova yucateca,,bambuco,
trova yucateca,,bolero,
truck driving country,,bakersfield sound,
truck driving country,,country rock,
truck driving country,,honky tonk,
tsapiky,,,
tsonga disco,,,
tsugaru-jamisen,,,
tumba,,,
tumba francesa,,,
tumbélé,,biguine,
tumbélé,,compas,
tumbélé,,guaguancó,
tumbélé,,soukous,
turkish folk,zeybek,,
turkish pop,,arabesk,
turkish pop,,turkish folk,
turntablism,battle record,,
twee pop,cuddlecore,,
twerk,,bounce,
twerk,,miami bass,
twoubadou,,guajira,
twoubadou,,méringue,
tân cổ giao duyên,,cải lương,
tân cổ giao duyên,,nhạc vàng,
tân cổ giao duyên,,vietnamese bolero,
uaajeerneq,,,
uk drill,,grime,
uk funky,,dancehall,
uk funky,,soca,
uk funky,,tribal house,
uk funky,,uk garage,
uk garage,2-step,,
uk garage,bassline,,
uk garage,future garage,,
uk garage,speed garage,,
uk garage,,garage house,
uk garage,breakstep,,
uk garage,dark garage,,
uk hardcore,,bouncy techno,
uk hardcore,,breakbeat hardcore,
uk hardcore,,trance,
uk jackin,,bassline,
uk street soul,,hip hop,
uk street soul,,reggae,
uk street soul,,soul,
uk82,,oi,
uk82,,street punk,
unakesa,,,
upopo,,,
uptempo hardcore,,frenchcore,
uptempo hardcore,,gabber,
uptempo hardcore,,industrial hardcore,
uptempo hardcore,,rawstyle,
urban contemporary gospel,,contemporary christian,
urban contemporary gospel,,contemporary r&b,
urban contemporary gospel,,hip hop,
urban cowboy,,disco,
urban cowboy,,pop,
urtiin duu,,,
urumi melam,,,
utopian virtual,,easy listening,
utopian virtual,,hypnagogic pop,
utopian virtual,,new age,
utopian virtual,,smooth jazz,
utopian virtual,,synth-pop,
uzun hava,,,
vaigat,,country,
vaigat,,swing,
vaigat,,western,
vals criollo,,waltz,
vals venezolano,,joropo,
valsa brasileira,,choro,
vanera,,habanera,
vapornoise,,drone,
vapornoise,,glitch,
vapornoise,,noise,
vaportrap,,trap,
vaporwave,mallsoft,,
vaporwave,broken transmission,,
vaporwave,dreampunk,,
vaporwave,hardvapour,,
vaporwave,vaportrap,,
vaporwave,utopian virtual,,
vaporwave,barber beats,,
vaporwave,slushwave,,
vaporwave,eccojams,,
vaporwave,vapornoise,,
vaudeville blues,,,blues
vaudeville blues,,,vaudeville
vedic chant,,,
verbunkos,,,
vietnamese bolero,,bolero,
vietnamese classical,ca trù,,
vietnamese classical,hát tuồng,,
viking metal,,black metal,
viking metal,,folk,
viking rock,,folk,
viking rock,,oi,
vinahouse,,eurodance,
vinahouse,,v-pop,
visual kei,loud kei,,
visual kei,,glam rock,
visual kei,,gothic rock,
visual kei,,heavy metal,
visual kei,,beat rock,
visual kei,soft visual,,
vocal jazz,,blues,
vocal jazz,vocalese,,
vocal surf,,pop rock,
vocal trance,,pop,
volkstümliche musik,,folk,
vude,,country,
vude,,disco,
vude,,rock,
vude,,sigidrigi,
wa euro,,eurobeat,
wa euro,,hi-nrg,
waila,,cumbia,
waila,,norteño,
waila,,polka,
waka,,,
waltz,slow waltz,,
waltz,valsa brasileira,,
waltz,vals venezolano,,
wangga,,,
war metal,,death metal,
wassoulou,,,
wave,,cloud rap,
wave,,trap,
wave,hardwave,,
wave,neo-grime,,
weightless,,ambient,
west coast breaks,,breakbeat hardcore,
west coast breaks,,progressive house,
west coast breaks,,techno,
west coast breaks,,trance,
west coast swing,,,
western classical,baroque,,
western classical,contemporary classical,,
western classical,ballet,,
western classical,cantata,,
western classical,motet,,
western classical,impressionism,,
western classical,art song,,
western classical,mass,,
western classical,modern classical,,
western classical,march,,
western classical,madrigal,,
western classical,neoclassicism,,
western classical,opera,,
western classical,romantic classical,,
western classical,renaissance,,
western classical,symphony,,
western classical,zarzuela,,
western classical,nocturne,,
western classical,étude,,
western classical,concerto,,
western classical,symphonic poem,,
western classical,oratorio,,
western classical,medieval,,
western classical,classical period,,
western classical,brass band,,
western classical,overture,,
western classical,prelude,,
western classical,toccata,,
western classical,sonata,,
western classical,fantasia,,
western classical,baroque suite,,
western classical,serenade,,
western classical,divertissement,,
western classical,sinfonia concertante,,
western classical,cinematic classical,,
western classical,ricercar,,
western classical,concert band,,
western classical,fugue,,
western classical,capriccio,,
western classical,canzona,,
western classical,impromptu,,
western classical,bagatelle,,
western classical,character piece,,
western classical,theme and variations,,
western classical,passion setting,,
western classical,english pastoral school,,
western classical,concertina band,,
western classical,string quartet,,
western classical,symphonic mugham,,
western swing,,dixieland,
western swing,,swing,
whistling,,,
winter synth,,dark ambient,
winter synth,,drone,
witch house,,chillwave,
witch house,,chopped and screwed,
witch house,,dark wave,
witch house,,dream pop,
witch house,,ethereal wave,
witch house,,shoegaze,
witch house,,southern hip hop,
wong shadow,,surf rock,
wonky,,,dubstep
wonky,,,glitch hop
wonky techno,,breakbeat,
wonky techno,,electro,
wonky techno,,glitch,
work song,aboio,,
work song,sea shanty,,
work song,shan'ge,,
work song,haozi,,
work song,industrial folk song,,
work song,military cadence,,
world fusion,,,folk
world fusion,,,jazz
worldbeat,,folk,
xaxado,,,
xian psych,,psychedelic pop,
xian psych,,psychedelic rock,
xote,,schottische,
xtra raw,,uptempo hardcore,
xẩm,,,
yacht rock,,r&b,
yakousei,,alternative dance,
yakousei,,indie pop,
yakousei,,indie rock,
yakousei,,nu disco,
yakousei,,post-punk revival,
yaraví,,,
yu-mex,,regional mexicano,
yukar,,,
yé-yé,,beat music,
yé-yé,,rock and roll,
zamba,,zamacueca,
zarzuela,género chico,,
zarzuela,género grande,,
zarzuela,zarzuela barroca,,
zess,,soca,
zeuhl,,jazz,
zeuhl,,modern classical,
zeuhl,,progressive rock,
zhongguo feng,,folk,
ziglibithy,,funk,
ziglibithy,,makossa,
ziglibithy,,soukous,
zinli,,,
zoblazo,,,
zohioliin duu,,pop,
zolo,,new wave,
zolo,,post-punk,
zolo,,progressive rock,
zouk,cabo zouk,,
zouk,zouk love,,
zouk,,bélé,
zouk,,biguine,
zouk,,cadence lypso,
zouk,,compas,
zouk,,gwo ka,
zouk,afro-zouk,,
zydeco,nouveau zydeco,,
zydeco,,blues,
zydeco,,cajun,
zydeco,,jazz,
zydeco,,r&b,
éntekhno,neo kyma,,
özgün müzik,,anatolian rock,
özgün müzik,,arabesk,
čalgija,,,
ʻōteʻa,,,
